Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\03_raw\Grad090_LFQ_A_01.mzML.dia	F:\03_raw\Grad090_LFQ_A_02.mzML.dia	F:\03_raw\Grad090_LFQ_A_04.mzML.dia	F:\03_raw\Grad090_LFQ_A_05.mzML.dia	F:\03_raw\Grad090_LFQ_B_01.mzML.dia	F:\03_raw\Grad090_LFQ_B_02.mzML.dia	F:\03_raw\Grad090_LFQ_B_03.mzML.dia	F:\03_raw\Grad090_LFQ_B_04.mzML.dia
P12385;P62495	P62495;P12385	ERF1_HUMAN;ERF1_YEAST	ETF1_HUMAN;SUP45_YEAST	Eukaryotic peptide chain release factor subunit 1	1.18303e+07	1.2265e+07	1.11778e+07	1.26368e+07	8.54121e+06	8.05209e+06	8.04504e+06	9.85309e+06
P12429	P12429	ANXA3_HUMAN	ANXA3_HUMAN	Annexin A3	1.08131e+07	1.0585e+07	1.0985e+07	1.05165e+07	1.06187e+07	1.07528e+07	1.07232e+07	1.08355e+07
P12532;P17540	P12532;P17540	KCRS_HUMAN;KCRU_HUMAN	CKMT1A_HUMAN;CKMT2_HUMAN	Creatine kinase U-type, mitochondrial	1.33698e+06	1.32283e+06	1.36663e+06	1.18439e+06	1.26819e+06	1.24178e+06	1.27104e+06	1.31141e+06
P12611	P12611	WHI2_YEAST	WHI2_YEAST	Growth regulation protein	531266	517181	510506	578144	232395	205109	225716	207615
P12612	P12612	TCPA_YEAST	TCP1_YEAST	T-complex protein 1 subunit alpha	6.45691e+06	6.3764e+06	6.40465e+06	5.92181e+06	2.87005e+06	2.91563e+06	2.86373e+06	2.79275e+06
P12612;P17987	P17987;P12612	TCPA_HUMAN;TCPA_YEAST	TCP1_HUMAN;TCP1_YEAST	T-complex protein 1 subunit alpha	1.80259e+07	1.89891e+07	1.81923e+07	1.79662e+07	1.65889e+07	1.66001e+07	1.57896e+07	1.65499e+07
P12630	P12630	BAR1_YEAST	BAR1_YEAST	Barrierpepsin	229115	218610	133665	176652		71482.9		
P12683	P12683	HMDH1_YEAST	HMG1_YEAST	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1	389708	422908	404915	351275	205990	279798	82007.9	225077
P12683;P12684	P12684;P12683	HMDH1_YEAST;HMDH2_YEAST	HMG1_YEAST;HMG2_YEAST	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1	1.00827e+06	1.01214e+06	933925	725321	303065	619838	468984	368187
P12684	P12684	HMDH2_YEAST	HMG2_YEAST	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2	792817	807684	868191	680453	339823	298694	293840	333482
P12687	P12687	RM02_YEAST	MRP7_YEAST	54S ribosomal protein L2, mitochondrial	307354	317549	324493	377202	76560.1	138891	124710	159737
P12688	P12688	YPK1_YEAST	YPK1_YEAST	Serine/threonine-protein kinase YPK1	3.15877e+06	3.07364e+06	3.01645e+06	3.19913e+06	1.34371e+06	1.35973e+06	1.40149e+06	1.32141e+06
P12688;P18961	P18961;P12688	YPK1_YEAST;YPK2_YEAST	YPK1_YEAST;YPK2_YEAST	Serine/threonine-protein kinase YPK1	1.9217e+06	1.94959e+06	2.04207e+06	1.91268e+06	985709	918976	905228	963200
P12694	P12694	ODBA_HUMAN	BCKDHA_HUMAN	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	672016	594458	661363	524895	615030	567404	634506	657944
P12695	P12695	ODP2_YEAST	LAT1_YEAST	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	8.75937e+06	8.68411e+06	9.30458e+06	8.71141e+06	4.52658e+06	4.35424e+06	4.40385e+06	4.23634e+06
P12709	P12709	G6PI_YEAST	PGI1_YEAST	Glucose-6-phosphate isomerase	1.53978e+08	1.566e+08	1.56568e+08	1.54642e+08	7.39032e+07	7.28374e+07	7.31147e+07	7.28035e+07
P12753	P12753	RAD50_YEAST	RAD50_YEAST	DNA repair protein RAD50	56266.5			952040	316718		349478	
P12754	P12754	EI2BD_YEAST	GCD2_YEAST	Translation initiation factor eIF-2B subunit delta	793205	1.00032e+06	956833	1.10184e+06	339591	428368	293361	439769
P12758	P12758	UDP_ECOLI	udp_ECOLI	Uridine phosphorylase	557036	614146	834012	639856	3.58292e+06	3.4557e+06	3.3936e+06	3.55547e+06
P12763	P12763	SWISS-PROT:P12763	SWISS-PROT:P12763		7.14738e+08	7.01307e+08	7.46878e+08	6.66551e+08	6.78373e+08	6.85855e+08	6.80912e+08	7.0516e+08
P12814	P12814	ACTN1_HUMAN	ACTN1_HUMAN	Alpha-actinin-1	1.19601e+07	1.20381e+07	1.24483e+07	1.12432e+07	1.1999e+07	1.20109e+07	1.23084e+07	1.21136e+07
P12868	P12868	PEP5_YEAST	PEP5_YEAST	E3 ubiquitin-protein ligase PEP5	497159	558047	393172	422657	176120	260824	239949	205316
P12887	P12887	UNG_YEAST	UNG1_YEAST	Uracil-DNA glycosylase	299121	373737	384833	144265	142592			89634.6
P12904	P12904	AAKG_YEAST	SNF4_YEAST	5'-AMP-activated protein kinase subunit gamma	2.21289e+06	2.14378e+06	2.06172e+06	1.79798e+06	977409	1.02572e+06	1.06238e+06	928669
P12945	P12945	NAT1_YEAST	NAT1_YEAST	N-terminal acetyltransferase A complex subunit NAT1	4.33712e+06	4.37674e+06	4.41318e+06	4.22377e+06	2.17903e+06	2.08869e+06	2.02941e+06	2.06535e+06
P12955	P12955	PEPD_HUMAN	PEPD_HUMAN	Xaa-Pro dipeptidase	2.04117e+06	1.92802e+06	1.94675e+06	1.83644e+06	1.98461e+06	2.06654e+06	2.04922e+06	2.12842e+06
P12956	P12956	XRCC6_HUMAN	XRCC6_HUMAN	X-ray repair cross-complementing protein 6	3.23539e+07	3.31936e+07	3.27388e+07	3.09876e+07	3.28038e+07	3.24552e+07	3.30058e+07	3.23332e+07
P12962	P12962	CAF20_YEAST	CAF20_YEAST	Cap-associated protein CAF20	2.16832e+06	2.2873e+06	2.16329e+06	1.61203e+06	1.05409e+06	1.01516e+06	1.10996e+06	1.01143e+06
P12994	P12994	YBHB_ECOLI	ybhB_ECOLI	UPF0098 protein YbhB					200466	270242	207338	234981
P12995	P12995	BIOA_ECOLI	bioA_ECOLI	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase					109582	74629.4	107538	60796.7
P13009	P13009	METH_ECOLI	metH_ECOLI	Methionine synthase					73211.2	77097	53855.3	27068.2
P13010	P13010	XRCC5_HUMAN	XRCC5_HUMAN	X-ray repair cross-complementing protein 5	3.66308e+07	3.60299e+07	3.67157e+07	3.39232e+07	3.62098e+07	3.63487e+07	3.56861e+07	3.68214e+07
P13024	P13024	FDHE_ECOLI	fdhE_ECOLI	Protein FdhE	171247	158217	181116	126942	1.02525e+06	1.01679e+06	1.04121e+06	1.01789e+06
P13029	P13029	KATG_ECOLI	katG_ECOLI	Catalase-peroxidase	1.45718e+06	1.56024e+06	1.3528e+06	1.36453e+06	7.11833e+06	7.1969e+06	6.98426e+06	7.11405e+06
P13033	P13033	GLPB_ECOLI	glpB_ECOLI	Anaerobic glycerol-3-phosphate dehydrogenase subunit B	144060	136047	203484	94937	1.00213e+06	1.04321e+06	1.07831e+06	1.05223e+06
P13035	P13035	GLPD_ECOLI	glpD_ECOLI	Aerobic glycerol-3-phosphate dehydrogenase	429871	424635	298796	337737	1.11227e+06	1.12319e+06	1.11002e+06	1.05265e+06
P13051	P13051	UNG_HUMAN	UNG_HUMAN	Uracil-DNA glycosylase	819690	512124	856077	782084	803652	803583	780325	903121
P13073	P13073	COX41_HUMAN	COX4I1_HUMAN	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	3.18348e+07	3.23778e+07	3.22574e+07	2.76777e+07	3.25786e+07	3.22477e+07	3.22403e+07	3.0625e+07
P13130	P13130	SS100_YEAST	SPS100_YEAST	Sporulation-specific wall maturation protein	345338	388682	391081				171874	111318
P13134	P13134	KEX2_YEAST	KEX2_YEAST	Kexin			248971	216870				
P13164;Q01628;Q01629	Q01628;Q01629;P13164	IFM1_HUMAN;IFM2_HUMAN;IFM3_HUMAN	IFITM1_HUMAN;IFITM2_HUMAN;IFITM3_HUMAN	Interferon-induced transmembrane protein 1	2.47793e+06	2.41669e+06	2.36452e+06	2.20923e+06	2.48152e+06	2.43781e+06	2.47445e+06	2.46057e+06
P13185	P13185	KIN1_YEAST	KIN1_YEAST	Serine/threonine protein kinase KIN1	1.12725e+06	1.23231e+06	1.15573e+06	1.07544e+06	540107	471562	478732	480454
P13186	P13186	KIN2_YEAST	KIN2_YEAST	Serine/threonine-protein kinase KIN2	563040	537865	462225	482384	228620	155619	231740	210658
P13188	P13188	SYQ_YEAST	GLN4_YEAST	Glutamine--tRNA ligase	1.04872e+07	1.07503e+07	1.02504e+07	9.69448e+06	4.90321e+06	4.88663e+06	4.8048e+06	4.67759e+06
P13259	P13259	PCY1_YEAST	PCT1_YEAST	Choline-phosphate cytidylyltransferase	436631	428327	411509	340205	195749	153013	216856	142210
P13284	P13284	GILT_HUMAN	IFI30_HUMAN	Gamma-interferon-inducible lysosomal thiol reductase	3.57413e+06	3.99946e+06	4.32387e+06	3.7154e+06	3.90882e+06	4.17731e+06	3.89151e+06	4.3296e+06
P13298	P13298	PYRE_YEAST	URA5_YEAST	Orotate phosphoribosyltransferase 1	6.21544e+06	6.14412e+06	5.93239e+06	5.95258e+06	2.8977e+06	2.85906e+06	2.65878e+06	2.85836e+06
P13298;P30402	P13298;P30402	PYRE_YEAST;PYRX_YEAST	URA10_YEAST;URA5_YEAST	Orotate phosphoribosyltransferase 1	4.77357e+06	4.74467e+06	4.65687e+06	4.52544e+06	2.34336e+06	2.27598e+06	2.07799e+06	2.21461e+06
P13382	P13382	DPOA_YEAST	POL1_YEAST	DNA polymerase alpha catalytic subunit A	429458	438399	464198	384232	202768	201934	239030	228124
P13393	P13393	TBP_YEAST	SPT15_YEAST	TATA-box-binding protein	1.17972e+06	1.27533e+06	1.46827e+06	1.20989e+06	735242	797488	612632	747487
P13433	P13433	RPOM_YEAST	RPO41_YEAST	DNA-directed RNA polymerase, mitochondrial		151657	61283.7	69844.6				
P13445	P13445	RPOS_ECOLI	rpoS_ECOLI	RNA polymerase sigma factor RpoS	60601.8	76883.9	94520.6	61400	398318	398628	361219	441613
P13473	P13473	LAMP2_HUMAN	LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2	1.82564e+07	1.76262e+07	1.68151e+07	1.38259e+07	1.61811e+07	1.61641e+07	1.54837e+07	1.52309e+07
P13482	P13482	TREA_ECOLI	treA_ECOLI	Periplasmic trehalase	72344.5	93586.9			524515	508790	512225	516001
P13489	P13489	RINI_HUMAN	RNH1_HUMAN	Ribonuclease inhibitor	6.68276e+06	6.69622e+06	6.72805e+06	6.33029e+06	6.64428e+06	6.87057e+06	6.76017e+06	6.81331e+06
P13497	P13497	BMP1_HUMAN	BMP1_HUMAN	Bone morphogenetic protein 1	34276	48432.3	39230.1	48959.8	50166	42454.1	39601.1	70886.5
P13517	P13517	CAPZB_YEAST	CAP2_YEAST	F-actin-capping protein subunit beta	3.10972e+06	3.20319e+06	3.38896e+06	3.19773e+06	1.61881e+06	1.53184e+06	1.57985e+06	1.45682e+06
P13574	P13574	STE12_YEAST	STE12_YEAST	Protein STE12	87576.8	46394.6	100712		41516.9			
P13586	P13586	ATC1_YEAST	PMR1_YEAST	Calcium-transporting ATPase 1	2.1013e+06	2.08975e+06	2.09581e+06	1.88487e+06	1.03733e+06	1.00391e+06	944844	985675
P13587	Q12691;P13587;Q01896	ATN1_YEAST	ENA1_YEAST	Sodium transport ATPase 1	272285	431221	389087	226559				
P13639	P13639	EF2_HUMAN	EEF2_HUMAN	Elongation factor 2	1.05643e+08	1.05975e+08	1.06189e+08	9.89208e+07	1.05795e+08	1.05059e+08	1.0658e+08	1.04565e+08
P13639;P32324	P13639;P32324	EF2_HUMAN;EF2_YEAST	EEF2_HUMAN;EFT1_YEAST	Elongation factor 2	1.70773e+07	1.86611e+07	2.06432e+07	1.39111e+07	1.59996e+07	1.5835e+07	1.71718e+07	1.78976e+07
P13639;Q15029	Q15029;P13639	EF2_HUMAN;U5S1_HUMAN	EEF2_HUMAN;EFTUD2_HUMAN	Elongation factor 2	1.35921e+08	1.32385e+08	1.34646e+08	1.23911e+08	1.32559e+08	1.3055e+08	1.34847e+08	1.37986e+08
P13645	P13645	SWISS-PROT:P13645	SWISS-PROT:P13645		1.05266e+07	1.06184e+07	1.02334e+07	1.0254e+07	1.09817e+07	1.08479e+07	1.09016e+07	1.04925e+07
P13663	P13663	DHAS_YEAST	HOM2_YEAST	Aspartate-semialdehyde dehydrogenase	2.19741e+07	2.19067e+07	2.15203e+07	2.21583e+07	1.01823e+07	1.01003e+07	1.02204e+07	1.01335e+07
P13667	P13667	PDIA4_HUMAN	PDIA4_HUMAN	Protein disulfide-isomerase A4	9.46917e+06	9.51532e+06	9.60519e+06	8.93057e+06	9.19333e+06	9.21923e+06	9.6177e+06	9.38347e+06
P13674	P13674	P4HA1_HUMAN	P4HA1_HUMAN	Prolyl 4-hydroxylase subunit alpha-1	1.06601e+06	1.08794e+06	1.07842e+06	1.11751e+06	1.16595e+06	1.21342e+06	1.11646e+06	1.10814e+06
P13693	Q56UQ5;P13693	TCTP_HUMAN	TPT1_HUMAN	Translationally-controlled tumor protein	1.26452e+07	1.2508e+07	1.25888e+07	1.11205e+07	1.215e+07	1.22508e+07	1.2549e+07	1.20096e+07
P13712	P13712	MSI1_YEAST	MSI1_YEAST	Chromatin assembly factor 1 subunit p50	499813		407782					
P13716	P13716	HEM2_HUMAN	ALAD_HUMAN	Delta-aminolevulinic acid dehydratase	290710	324750	269794	251921	340244	305310	368950	225742
P13726	P13726	TF_HUMAN	F3_HUMAN	Tissue factor		49402.5			37379.6		98890.1	
P13797	P13797	PLST_HUMAN	PLS3_HUMAN	Plastin-3	2.14544e+07	2.21874e+07	2.21869e+07	2.0194e+07	2.18497e+07	2.18155e+07	2.16466e+07	2.18274e+07
P13797;Q14651	Q14651;P13797	PLSI_HUMAN;PLST_HUMAN	PLS1_HUMAN;PLS3_HUMAN	Plastin-3	2.58585e+07	2.59472e+07	2.52763e+07	2.70868e+07	2.47397e+07	2.45041e+07	2.43563e+07	2.55063e+07
P13798	P13798	ACPH_HUMAN	APEH_HUMAN	Acylamino-acid-releasing enzyme	8.87442e+06	8.71114e+06	8.57939e+06	8.14554e+06	8.54223e+06	8.30089e+06	8.39566e+06	8.21539e+06
P13804	P13804	ETFA_HUMAN	ETFA_HUMAN	Electron transfer flavoprotein subunit alpha, mitochondrial	2.79511e+07	2.89034e+07	2.92365e+07	2.89145e+07	2.90764e+07	2.8067e+07	2.91489e+07	2.87719e+07
P13807	P13807	GYS1_HUMAN	GYS1_HUMAN	Glycogen [starch] synthase, muscle	1.46076e+06	1.54024e+06	1.59548e+06	1.43992e+06	1.53868e+06	1.59793e+06	1.53267e+06	1.63957e+06
P13807;P23337;P27472	P13807;P23337;P27472	GYS1_HUMAN;GYS1_YEAST;GYS2_YEAST	GSY1_YEAST;GSY2_YEAST;GYS1_HUMAN	Glycogen [starch] synthase, muscle	6.11697e+06	5.80579e+06	5.88799e+06	4.44219e+06	3.47262e+06	3.40306e+06	3.46567e+06	3.14752e+06
P13856	P13856	RSR1_YEAST	RSR1_YEAST	Ras-related protein RSR1	429732	432783	519545	508492				163749
P13861	P13861	KAP2_HUMAN	PRKAR2A_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	4.75516e+06	4.81675e+06	4.58794e+06	4.60041e+06	4.90837e+06	4.97773e+06	4.94163e+06	4.67477e+06
P13928	P13928	ANXA8_HUMAN	ANXA8_HUMAN	Annexin A8		41055.8	33426.2	31961.6	26265.5	43346.2	40355.6	34953
P13928;Q5VT79	Q5VT79;P13928	ANXA8_HUMAN;AXA81_HUMAN	ANXA8L1_HUMAN;ANXA8_HUMAN	Annexin A8	1.7249e+06	1.71435e+06	1.56292e+06	1.45038e+06	1.76044e+06	1.72249e+06	1.78314e+06	1.68587e+06
P13929	P13929	ENOB_HUMAN	ENO3_HUMAN	Beta-enolase	2.87401e+06	2.79689e+06	2.86978e+06	2.75629e+06	2.95007e+06	2.95399e+06	2.91975e+06	3.0115e+06
P13984	P13984	T2FB_HUMAN	GTF2F2_HUMAN	General transcription factor IIF subunit 2	1.58825e+06	1.5364e+06	1.35883e+06	1.68159e+06	1.3994e+06	1.45029e+06	1.36144e+06	1.23187e+06
P13987	P13987	CD59_HUMAN	CD59_HUMAN	CD59 glycoprotein	3.33245e+07	3.27167e+07	3.30094e+07	3.17499e+07	3.20463e+07	3.19414e+07	3.21025e+07	3.31713e+07
P13995	P13995	MTDC_HUMAN	MTHFD2_HUMAN	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	2.73557e+06	2.79682e+06	2.72775e+06	2.78877e+06	2.74249e+06	2.89003e+06	2.76015e+06	2.91776e+06
P14020	P14020	DPM1_YEAST	DPM1_YEAST	Dolichol-phosphate mannosyltransferase	2.15458e+07	2.20632e+07	2.17742e+07	2.18612e+07	1.03967e+07	1.03183e+07	1.0122e+07	9.66623e+06
P14065	P14065	GCY1_YEAST	GCY1_YEAST	Glycerol 2-dehydrogenase (NADP(+))	2.72712e+06	2.77859e+06	2.66278e+06	2.54621e+06	1.28314e+06	1.26852e+06	1.35665e+06	1.17518e+06
P14065;Q12458	P14065;Q12458	GCY1_YEAST;YPR1_YEAST	GCY1_YEAST;YPR1_YEAST	Glycerol 2-dehydrogenase (NADP(+))	4.88166e+06	5.06345e+06	4.41497e+06	3.55556e+06	2.32279e+06	2.12567e+06	2.27424e+06	1.99307e+06
P14081	P14081	SELB_ECOLI	selB_ECOLI	Selenocysteine-specific elongation factor					38578.1	36718.7	49526.8	
P14120	P14120	RL30_YEAST	RPL30_YEAST	60S ribosomal protein L30	2.96719e+07	3.07397e+07	3.30455e+07	3.38241e+07	1.48289e+07	1.48735e+07	1.58689e+07	1.54501e+07
P14126	P14126	RL3_YEAST	RPL3_YEAST	60S ribosomal protein L3	1.1956e+08	1.24384e+08	1.26721e+08	1.12793e+08	5.68423e+07	5.68885e+07	5.88362e+07	5.70979e+07
P14164	P14164	ABF1_YEAST	ABF1_YEAST	ARS-binding factor 1	682525	654997	636116	705228	327983	322409	329257	320518
P14174	P14174	MIF_HUMAN	MIF_HUMAN	Macrophage migration inhibitory factor	9.23905e+07	9.62469e+07	8.7827e+07	8.97178e+07	8.85324e+07	9.08328e+07	9.53381e+07	9.18549e+07
P14209	P14209	CD99_HUMAN	CD99_HUMAN	CD99 antigen	357560	435971	573131	386878	510302	451631	538619	501642
P14306	P14306	CPYI_YEAST	TFS1_YEAST	Carboxypeptidase Y inhibitor	7.20263e+06	6.98428e+06	7.09566e+06	6.83874e+06	3.17069e+06	3.25634e+06	3.54676e+06	3.39915e+06
P14314	P14314	GLU2B_HUMAN	PRKCSH_HUMAN	Glucosidase 2 subunit beta	4.13905e+07	4.17641e+07	4.0893e+07	3.84546e+07	4.21314e+07	4.11076e+07	4.16641e+07	4.02986e+07
P14324	P14324	FPPS_HUMAN	FDPS_HUMAN	Farnesyl pyrophosphate synthase	2.67398e+07	2.62816e+07	2.64745e+07	2.47425e+07	2.49614e+07	2.55228e+07	2.51606e+07	2.48974e+07
P14373	P14373	TRI27_HUMAN	TRIM27_HUMAN	Zinc finger protein RFP	757082	910483	900477	817036	928589	852798	881521	872543
P14384	P14384	CBPM_HUMAN	CPM_HUMAN	Carboxypeptidase M	3.65302e+06	4.07004e+06	3.77877e+06	3.04661e+06	3.80569e+06	3.82586e+06	3.79274e+06	3.61383e+06
P14406	P14406	CX7A2_HUMAN	COX7A2_HUMAN	Cytochrome c oxidase subunit 7A2, mitochondrial	9.51678e+06	9.4247e+06	9.75647e+06	9.60699e+06	9.12534e+06	9.0263e+06	9.23402e+06	9.38137e+06
P14540	P14540	ALF_YEAST	FBA1_YEAST	Fructose-bisphosphate aldolase	7.46077e+08	7.61049e+08	7.59221e+08	7.0264e+08	3.48822e+08	3.52509e+08	3.51416e+08	3.56794e+08
P14550	P14550	AK1A1_HUMAN	AKR1A1_HUMAN	Aldo-keto reductase family 1 member A1	1.94166e+07	1.97747e+07	1.91381e+07	1.91133e+07	1.97069e+07	1.9515e+07	1.9481e+07	1.95257e+07
P14618	P14618	KPYM_HUMAN	PKM_HUMAN	Pyruvate kinase PKM	4.20418e+08	4.20112e+08	4.1554e+08	4.07719e+08	4.1846e+08	4.20762e+08	4.198e+08	4.12682e+08
P14618;P30613	P14618;P30613	KPYM_HUMAN;KPYR_HUMAN	PKLR_HUMAN;PKM_HUMAN	Pyruvate kinase PKM	1.29928e+08	1.32221e+08	1.36762e+08	1.52836e+08	1.39221e+08	1.35244e+08	1.37628e+08	1.40474e+08
P14621	P14621	ACYP2_HUMAN	ACYP2_HUMAN	Acylphosphatase-2	472696	564318	317799	456951	559441	558197	523923	401537
P14625	P14625	ENPL_HUMAN	HSP90B1_HUMAN	Endoplasmin	6.59307e+07	6.52633e+07	6.64478e+07	5.95488e+07	6.65974e+07	6.65891e+07	6.74866e+07	6.55271e+07
P14635	P14635	CCNB1_HUMAN	CCNB1_HUMAN	G2/mitotic-specific cyclin-B1	507378	425443	493918	504788	492282	528561	475155	536792
P14649	P14649	MYL6B_HUMAN	MYL6B_HUMAN	Myosin light chain 6B	60862.2	58005.4	105273	53281	72418.6	63507.9	108360	108922
P14649;P60660	P14649;P60660	MYL6B_HUMAN;MYL6_HUMAN	MYL6B_HUMAN;MYL6_HUMAN	Myosin light chain 6B	1.7455e+07	1.78208e+07	1.76417e+07	1.6035e+07	1.77786e+07	1.75178e+07	1.75994e+07	1.75191e+07
P14678	P14678	RSMB_HUMAN	SNRPB_HUMAN	Small nuclear ribonucleoprotein-associated proteins B and B'	2.67159e+07	2.77766e+07	2.77109e+07	2.64731e+07	2.75211e+07	2.64279e+07	2.64078e+07	2.7026e+07
P14680	P14680	YAK1_YEAST	YAK1_YEAST	Dual specificity protein kinase YAK1	652513	708505	729860	769789	418259	174407	368679	364494
P14682	P14682	UBC3_YEAST	CDC34_YEAST	Ubiquitin-conjugating enzyme E2-34 kDa	647373	640368	599577	467061	270259	334225	125433	275485
P14693	P14693	SAM35_YEAST	SAM35_YEAST	Sorting assembly machinery 35 kDa subunit	194558	265709	258530	248737	80591.9	66701.3	105054	
P14735	P14735	IDE_HUMAN	IDE_HUMAN	Insulin-degrading enzyme	3.87544e+06	3.82574e+06	3.78505e+06	3.52746e+06	3.75872e+06	3.80488e+06	3.67405e+06	3.78439e+06
P14736	P14736	RAD4_YEAST	RAD4_YEAST	DNA repair protein RAD4	48484.7			45942.9				
P14741	P14741	EI2BA_YEAST	GCN3_YEAST	Translation initiation factor eIF-2B subunit alpha	704820	702357	637980	571006	265995	247536	142369	251486
P14742	P14742	GFA1_YEAST	GFA1_YEAST	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	1.2622e+07	1.29142e+07	1.26288e+07	1.23221e+07	5.99117e+06	5.97831e+06	5.8435e+06	5.96463e+06
P14743	P14743	NMT_YEAST	NMT1_YEAST	Glycylpeptide N-tetradecanoyltransferase	1.07121e+06	1.06266e+06	967703	1.07437e+06	500220	475353	426832	335305
P14747	P14747	PP2B2_YEAST	CMP2_YEAST	Serine/threonine-protein phosphatase 2B catalytic subunit A2	1.5186e+06	1.48348e+06	1.28149e+06	1.65593e+06	754422	713502	676705	630532
P14747;Q08209	Q08209;P16298;P48454;P14747	PP2B2_YEAST;PP2BA_HUMAN	CMP2_YEAST;PPP3CA_HUMAN	Serine/threonine-protein phosphatase 2B catalytic subunit A2	1.19812e+06	1.12478e+06	918213	780000	737252			
P14772	P14772	BPT1_YEAST	BPT1_YEAST	Bile pigment transporter 1	661545	573146	519971	557180	137254	215929	276874	219051
P14832	P14832	CYPH_YEAST	CPR1_YEAST	Peptidyl-prolyl cis-trans isomerase	1.04755e+08	1.0929e+08	1.08457e+08	1.09835e+08	5.00239e+07	4.92289e+07	5.02603e+07	4.96041e+07
P14832;P23284	P23284;P14832	CYPH_YEAST;PPIB_HUMAN	CPR1_YEAST;PPIB_HUMAN	Peptidyl-prolyl cis-trans isomerase	3.67391e+08	3.1149e+08	3.73306e+08	4.13247e+08	1.94896e+08	1.72647e+08	1.55347e+08	1.96595e+08
P14843	P14843	AROF_YEAST	ARO3_YEAST	Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited	2.60803e+06	2.65821e+06	2.68137e+06	2.528e+06	1.1784e+06	1.21951e+06	1.20237e+06	1.24799e+06
P14854	P14854	CX6B1_HUMAN	COX6B1_HUMAN	Cytochrome c oxidase subunit 6B1	5.15964e+06	5.25265e+06	5.04303e+06	4.18318e+06	5.41573e+06	5.30806e+06	5.36685e+06	5.19006e+06
P14859	P14859	PO2F1_HUMAN	POU2F1_HUMAN	POU domain, class 2, transcription factor 1	411510	398308	433694	444163	394118	430039	454040	408860
P14866	P14866	HNRPL_HUMAN	HNRNPL_HUMAN	Heterogeneous nuclear ribonucleoprotein L	2.45865e+07	2.41842e+07	2.46826e+07	2.19456e+07	2.42231e+07	2.41553e+07	2.47714e+07	2.48179e+07
P14866;Q8WVV9	P14866;Q8WVV9	HNRLL_HUMAN;HNRPL_HUMAN	HNRNPLL_HUMAN;HNRNPL_HUMAN	Heterogeneous nuclear ribonucleoprotein L	1.90881e+07	1.80948e+07	2.11732e+07	2.22691e+07	1.71569e+07	1.82855e+07	1.79536e+07	1.93693e+07
P14868	P14868	SYDC_HUMAN	DARS1_HUMAN	Aspartate--tRNA ligase, cytoplasmic	1.22249e+07	1.20517e+07	1.22351e+07	1.19104e+07	1.23036e+07	1.218e+07	1.21144e+07	1.20682e+07
P14900	P14900	MURD_ECOLI	murD_ECOLI	UDP-N-acetylmuramoylalanine--D-glutamate ligase					235496	264804	207483	228265
P14904	P14904	AMPL_YEAST	APE1_YEAST	Vacuolar aminopeptidase 1	2.70128e+06	2.70459e+06	2.72293e+06	2.22943e+06	1.05386e+06	1.25269e+06	1.18963e+06	1.15802e+06
P14906	P14906	SEC63_YEAST	SEC63_YEAST	Protein translocation protein SEC63	3.27157e+06	3.09187e+06	3.29191e+06	2.89008e+06	1.41797e+06	1.36231e+06	1.44241e+06	1.40144e+06
P14907	P14907	NSP1_YEAST	NSP1_YEAST	Nucleoporin NSP1	4.95491e+06	4.79775e+06	4.95519e+06	4.91317e+06	1.90627e+06	1.92088e+06	2.14533e+06	2.0412e+06
P14922	P14922	CYC8_YEAST	CYC8_YEAST	General transcriptional corepressor CYC8	1.30793e+06	1.30102e+06	1.24821e+06	1.25133e+06	482154	493815	543810	482702
P14923	P14923	PLAK_HUMAN	JUP_HUMAN	Junction plakoglobin	300133	348662	277874	332719	308848	356363	351840	370955
P14927	P14927	QCR7_HUMAN	UQCRB_HUMAN	Cytochrome b-c1 complex subunit 7	1.00923e+07	9.3662e+06	8.63817e+06	9.56131e+06	9.53363e+06	1.00661e+07	1.09014e+07	1.00206e+07
P15019	P15019	TAL1_YEAST	TAL1_YEAST	Transaldolase	4.13595e+07	4.13723e+07	4.24368e+07	4.10234e+07	1.9497e+07	1.95786e+07	1.98513e+07	2.00728e+07
P15019;P37837	P37837;P15019	TAL1_YEAST;TALDO_HUMAN	TAL1_YEAST;TALDO1_HUMAN	Transaldolase	1.9089e+07	1.92253e+07	1.83191e+07	1.61789e+07	1.52997e+07	1.50709e+07	1.5529e+07	1.44137e+07
P15034	P15034	AMPP_ECOLI	pepP_ECOLI	Xaa-Pro aminopeptidase					1.19466e+06	1.29473e+06	1.28689e+06	1.10895e+06
